,Unnamed: 0,individual_id,taxon_canonical_name,study_id,timestamp,latitude,longitude,sex,common_name,wiki_url
218382,218382,36122520,Passerculus sandwichensis,36121409,2010-10-15 00:11:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218383,218383,36122523,Passerculus sandwichensis,36121409,2010-10-03 01:07:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218384,218384,36122523,Passerculus sandwichensis,36121409,2010-10-03 01:58:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218385,218385,36122523,Passerculus sandwichensis,36121409,2010-10-03 02:49:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218386,218386,36122526,Passerculus sandwichensis,36121409,2010-09-26 22:49:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218387,218387,36122526,Passerculus sandwichensis,36121409,2010-09-26 23:08:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218388,218388,36122526,Passerculus sandwichensis,36121409,2010-09-26 23:28:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218389,218389,36122526,Passerculus sandwichensis,36121409,2010-09-26 23:50:00.000,44.54685343,-67.56030523,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218390,218390,36122526,Passerculus sandwichensis,36121409,2010-09-27 00:13:00.000,44.474267,-67.95402800000001,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218391,218391,36122529,Passerculus sandwichensis,36121409,2010-10-11 22:28:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218392,218392,36122529,Passerculus sandwichensis,36121409,2010-10-11 23:24:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218393,218393,36122529,Passerculus sandwichensis,36121409,2010-10-12 00:21:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218394,218394,36122529,Passerculus sandwichensis,36121409,2010-10-12 01:08:00.000,44.54685343,-67.56030523,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218395,218395,36122529,Passerculus sandwichensis,36121409,2010-10-12 01:55:00.000,44.474267,-67.95402800000001,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
